,ADMM_Method.ADMMLoopNum,ADMM_Method.OptimInnerLoopNum,ADMM_Method.balance_scheduler_dict.begin_epoch,ADMM_Method.balance_scheduler_dict.max_value,ADMM_Method.kernel_size,ADMM_Method.lamda,ADMM_Method.sigma,DSC0,DSC1,Optim.lr,Trainer
0,1,1,0,0.7409204579857447,3,100,0.0001,0.9986866116523743,0.831278920173645,0.001,{'save_dir': 'runs/LV_prior/4J05MGG9'}
1,1,2,0,0.5217034857135223,3,100,0.0001,0.9984992146492004,0.8054296374320984,0.002,{'save_dir': 'runs/LV_prior/IZ7HWSK6'}
2,2,1,20,0.6112479602856142,3,100,0.0001,0.9986038208007812,0.8285003900527954,0.0005,{'save_dir': 'runs/LV_prior/V988RCYE'}
3,1,2,20,0.645830155085336,3,100,0.0001,0.9980144500732422,0.7612916827201843,0.002,{'save_dir': 'runs/LV_prior/WECNFETB'}
4,2,1,0,0.6418176727147534,3,100,0.0001,0.9984809160232544,0.8130257725715637,0.001,{'save_dir': 'runs/LV_prior/4Y238VHR'}
5,1,2,0,0.6165773746061834,3,100,0.0001,0.9983794093132019,0.8085288405418396,0.0005,{'save_dir': 'runs/LV_prior/30BFAZWD'}
6,2,1,0,0.5873865353935264,3,100,0.0001,0.9985923767089844,0.815642774105072,0.0001,{'save_dir': 'runs/LV_prior/IOKPII7R'}
7,1,2,20,0.5658765905160152,3,100,0.0001,0.9986336827278137,0.8250440955162048,0.0001,{'save_dir': 'runs/LV_prior/7PQ0DIJ2'}
8,2,2,0,0.7059519294780248,3,100,0.0001,0.998396098613739,0.8114633560180664,0.0005,{'save_dir': 'runs/LV_prior/9XYCBA8A'}
9,2,2,20,0.5543049407089784,3,100,0.0001,0.9985224604606628,0.8188579678535461,0.0005,{'save_dir': 'runs/LV_prior/DUTLVLH1'}
10,2,2,0,0.6926923689588058,3,100,0.0001,0.998759388923645,0.8429427146911621,0.0001,{'save_dir': 'runs/LV_prior/L0FWA96F'}
11,1,1,0,0.7377228120525442,3,100,0.0001,0.9985864758491516,0.8186691403388977,0.0001,{'save_dir': 'runs/LV_prior/UZ8ZCQ1D'}
12,1,2,0,0.65380509012178,3,100,0.0001,0.9981630444526672,0.7666948437690735,0.002,{'save_dir': 'runs/LV_prior/X3Z8JLNP'}
