,ADMM_Method.ADMMLoopNum,ADMM_Method.OptimInnerLoopNum,ADMM_Method.gc_use_prior,ADMM_Method.kernel_size,ADMM_Method.lamda,ADMM_Method.sigma,Arch.name,DSC0,DSC1,Optim.lr,Trainer.max_epoch,gc,save_dir
17,1,0,FALSE,3,10,0.0001,dummy,0.749125421,0.019179912,0,1,0.682055652,runs/RV_prior/GC_search/V3OVPU7O
33,1,0,FALSE,3,0.1,1.00E-05,dummy,0.971631706,0.065884069,0,1,0.642868459,runs/RV_prior/GC_search/8W518PBF
30,1,0,FALSE,5,0.1,0.0001,dummy,0.921950519,0.030485196,0,1,0.634752214,runs/RV_prior/GC_search/MQ73HHP0
0,1,0,FALSE,5,100,1.00E-05,dummy,0.995755136,2.52E-12,0,1,0.62601155,runs/RV_prior/GC_search/SS2R0XE4
31,1,0,FALSE,5,0.1,1.00E-05,dummy,0.663022459,0.016484877,0,1,0.626009524,runs/RV_prior/GC_search/YX62I0TI
21,1,0,TRUE,5,10,0.0001,dummy,0.702732205,0.009853506,0,1,0.62579304,runs/RV_prior/GC_search/5Q7LGSPY
3,1,0,TRUE,5,10,1.00E-05,dummy,0.396644533,0.016618248,0,1,0.595992327,runs/RV_prior/GC_search/8GTM0Z4Y
12,1,0,TRUE,5,10,1.00E-05,dummy,0.065650843,0.014403705,0,1,0.595992327,runs/RV_prior/GC_search/UFPSLETX
6,1,0,FALSE,3,100,0.001,dummy,0.993886471,0.008379175,0,1,0.59441793,runs/RV_prior/GC_search/1X7SSKS6
35,1,0,FALSE,3,0.1,0.001,dummy,0.692780137,0.011187868,0,1,0.59441787,runs/RV_prior/GC_search/E7J2H0QM
34,1,0,TRUE,7,100,1.00E-05,dummy,0.206852004,0.014130594,0,1,0.589168489,runs/RV_prior/GC_search/L32I8LG0
2,1,0,TRUE,3,10,1.00E-05,dummy,0.99244374,0.021072004,0,1,0.588893414,runs/RV_prior/GC_search/JTJ7VFEA
20,1,0,FALSE,7,10,1.00E-05,dummy,0.852043808,0.017093999,0,1,0.588294327,runs/RV_prior/GC_search/B9OGQCDM
1,1,0,TRUE,3,0.1,0.0001,dummy,0.950063527,2.97E-07,0,1,0.580882072,runs/RV_prior/GC_search/H1JXG9L9
19,1,0,TRUE,3,10,0.001,dummy,0.184279054,0.018601503,0,1,0.579834282,runs/RV_prior/GC_search/NV00WNRJ
5,1,0,TRUE,7,0,0.01,dummy,0.852629483,0.016100124,0,1,0.575228095,runs/RV_prior/GC_search/J8WCNSW4
15,1,0,TRUE,3,0,0.01,dummy,0.852506757,0.016283242,0,1,0.575228035,runs/RV_prior/GC_search/LHQ3N7A2
22,1,0,TRUE,3,0,0.0001,dummy,0.76660198,0.021953845,0,1,0.575228035,runs/RV_prior/GC_search/MF6S3SFP
24,1,0,TRUE,5,0,0.001,dummy,0.000811124,0.016725544,0,1,0.575228035,runs/RV_prior/GC_search/XJBKAD37
10,1,0,TRUE,5,0,0.01,dummy,0.855112672,0.016415244,0,1,0.575227976,runs/RV_prior/GC_search/SXC6N0LD
14,1,0,FALSE,7,100,0.0001,dummy,0.004403638,0.016759578,0,1,0.57313031,runs/RV_prior/GC_search/AO0F6XOB
27,1,0,FALSE,7,10,0.0001,dummy,0.860767365,0.013700505,0,1,0.57313019,runs/RV_prior/GC_search/0MPG9DF3
28,1,0,TRUE,3,0.1,0.001,dummy,0.657440662,0.017742408,0,1,0.570672333,runs/RV_prior/GC_search/RYLD0N75
18,1,0,TRUE,5,100,0.001,dummy,0.875558019,0.006486009,0,1,0.540087402,runs/RV_prior/GC_search/1D624ITN
16,1,0,FALSE,5,100,0.001,dummy,0.844249904,0.02178766,0,1,0.540000677,runs/RV_prior/GC_search/TF1KG3S9
23,1,0,TRUE,5,10,0.001,dummy,0.959242463,0.084686086,0,1,0.538745224,runs/RV_prior/GC_search/W9AXIE2U
32,1,0,TRUE,7,0.1,0.0001,dummy,0.652163982,0.020250482,0,1,0.516612172,runs/RV_prior/GC_search/KP18Z0K2
4,1,0,FALSE,7,0,1.00E-05,dummy,0.657679975,0.017668113,0,1,0.336838633,runs/RV_prior/GC_search/YIKOXP1G
7,1,0,FALSE,5,0,1.00E-05,dummy,0.673340797,0.01586845,0,1,0.336838603,runs/RV_prior/GC_search/MIL9R5XX
25,1,0,FALSE,3,0,1.00E-05,dummy,0.663081229,0.016508067,0,1,0.336838603,runs/RV_prior/GC_search/XNBW3JA9
36,1,0,FALSE,5,0,0.0001,dummy,0.995746255,2.51E-12,0,1,0.336838603,runs/RV_prior/GC_search/8K1NKTYU
9,1,0,FALSE,5,0,0.01,dummy,0.195892945,0.014142386,0,1,0.336838573,runs/RV_prior/GC_search/SXXUFLUY
29,1,0,FALSE,5,0,0.001,dummy,0.004136385,0.016757473,0,1,0.336838573,runs/RV_prior/GC_search/VOS2XGKM
26,1,0,FALSE,7,0,0.01,dummy,0.352883905,0.0182417,0,1,0.336838543,runs/RV_prior/GC_search/6WYKXMSF
8,1,0,FALSE,5,0.1,0.01,dummy,0.941122234,0.048260335,0,1,0.308522791,runs/RV_prior/GC_search/4OCNF1ZX
38,1,0,TRUE,5,100,0.01,dummy,0.553399265,0.010605443,0,1,0.308509588,runs/RV_prior/GC_search/JI8CXEFY
39,1,0,TRUE,5,100,0.01,dummy,0.727377117,0.010238259,0,1,0.308509588,runs/RV_prior/GC_search/DXJIQIDA
11,1,0,TRUE,3,10,0.01,dummy,0.042090684,0.015754743,0,1,0.305322051,runs/RV_prior/GC_search/7503WDXV
37,1,0,FALSE,7,0.1,0.01,dummy,0.39515081,0.01662497,0,1,0.275354654,runs/RV_prior/GC_search/0H84O5CB
13,1,0,FALSE,7,100,0.01,dummy,0.995755136,2.52E-12,0,1,0.275354594,runs/RV_prior/GC_search/6R3ZXEGE
